,year,region,indicator,no_accidents,x_x,y_x,driving_licenses,x_y,y_y
306,2014,Tabouk,,,,,12188,27.90165499,37.2598581394
307,1995,Tabouk,,,,,2051,27.90165499,37.2598581394
308,2004,Tabouk,,,,,7532,27.90165499,37.2598581394
309,2015,Hail,,,,,7172,27.400845724,41.4406960508
310,2011,Hail,,,,,9123,27.400845724,41.4406960508
311,2012,Hail,,,,,11082,27.400845724,41.4406960508
312,1994,Hail,,,,,11131,27.400845724,41.4406960508
313,1998,Hail,,,,,4708,27.400845724,41.4406960508
314,2000,Hail,,,,,3215,27.400845724,41.4406960508
315,2015,Northern Boarder,,,,,3837,30.197074783,41.8171186952
316,2014,Northern Boarder,,,,,5009,30.197074783,41.8171186952
317,2013,Northern Boarder,,,,,3921,30.197074783,41.8171186952
318,1995,Northern Boarder,,,,,1318,30.197074783,41.8171186952
319,1994,Northern Boarder,,,,,1457,30.197074783,41.8171186952
320,1997,Northern Boarder,,,,,1531,30.197074783,41.8171186952
321,2007,Northern Boarder,,,,,3479,30.197074783,41.8171186952
322,2008,Northern Boarder,,,,,3519,30.197074783,41.8171186952
323,2012,Jazan,,,,,11156,17.2072313962,42.6525807422
324,1996,Jazan,,,,,2226,17.2072313962,42.6525807422
325,2002,Jazan,,,,,5254,17.2072313962,42.6525807422
326,2006,Jazan,,,,,7955,17.2072313962,42.6525807422
327,2015,Riyadh,,,,,24548,23.0814341634,45.5857512766
328,1998,Riyadh,,,,,114962,23.0814341634,45.5857512766
329,2002,Riyadh,,,,,25423,23.0814341634,45.5857512766
330,2007,Riyadh,,,,,36261,23.0814341634,45.5857512766
331,2004,Riyadh,,,,,23479,23.0814341634,45.5857512766
332,2009,Riyadh,,,,,38014,23.0814341634,45.5857512766
333,1996,Makkah,,,,,46195,21.628962766,41.2636898334
334,2014,Najran,,,,,9601,18.4511003068,46.8688495726
335,2011,Najran,,,,,7314,18.4511003068,46.8688495726
336,1994,Najran,,,,,3880,18.4511003068,46.8688495726
337,1998,Najran,,,,,4322,18.4511003068,46.8688495726
338,2001,Najran,,,,,4950,18.4511003068,46.8688495726
339,2004,Najran,,,,,4609,18.4511003068,46.8688495726
340,2004,Al-Baha,,,,,3410,20.1484058503,41.4665484892
341,2008,Al-Baha,,,,,5418,20.1484058503,41.4665484892
342,2009,Al-Baha,,,,,9815,20.1484058503,41.4665484892
343,2011,Al-Jouf,,,,,10180,29.9677445762,39.5570371172
344,2013,Al-Jouf,,,,,11602,29.9677445762,39.5570371172
345,2003,Al-Jouf,,,,,3852,29.9677445762,39.5570371172
346,2002,Makkah,,,,,88593,21.628962766,41.2636898334
347,2003,Makkah,,,,,74236,21.628962766,41.2636898334
348,2007,Makkah,,,,,91902,21.628962766,41.2636898334
349,2015,Madinah,,,,,22744,24.927534539,39.4918237173
350,1997,Madinah,,,,,10495,24.927534539,39.4918237173
351,2008,Madinah,,,,,9194,24.927534539,39.4918237173
352,2011,Al-Qaseem,,,,,10760,26.1967063704,43.3429998455
353,1993,Al-Qaseem,,,,,73618,26.1967063704,43.3429998455
354,1997,Al-Qaseem,,,,,10092,26.1967063704,43.3429998455
355,1999,Al-Qaseem,,,,,9983,26.1967063704,43.3429998455
356,1998,Al-Qaseem,,,,,11350,26.1967063704,43.3429998455
357,2002,Al-Qaseem,,,,,16298,26.1967063704,43.3429998455
358,2008,Al-Qaseem,,,,,22236,26.1967063704,43.3429998455
359,2009,Al-Qaseem,,,,,27571,26.1967063704,43.3429998455
360,1993,Eastern,,,,,9964,23.2883307307,50.1478302439
361,1999,Eastern,,,,,64973,23.2883307307,50.1478302439
362,1998,Eastern,,,,,70650,23.2883307307,50.1478302439
363,2004,Eastern,,,,,84984,23.2883307307,50.1478302439
364,2005,Eastern,,,,,82505,23.2883307307,50.1478302439
365,2010,Assir,,,,,21835,19.1387847401,42.941470036
366,1993,Assir,,,,,6226,19.1387847401,42.941470036
367,1994,Assir,,,,,5185,19.1387847401,42.941470036
368,2004,Assir,,,,,17947,19.1387847401,42.941470036
369,2009,Assir,,,,,21582,19.1387847401,42.941470036
370,2012,Tabouk,,,,,11391,27.90165499,37.2598581394
371,1999,Tabouk,,,,,5298,27.90165499,37.2598581394
372,2000,Tabouk,,,,,8473,27.90165499,37.2598581394
373,2006,Tabouk,,,,,8259,27.90165499,37.2598581394
374,2013,Hail,,,,,9731,27.400845724,41.4406960508
375,1997,Hail,,,,,6606,27.400845724,41.4406960508
376,1999,Hail,,,,,3139,27.400845724,41.4406960508
